Title,Authors,Publication Year,DOI,DB,Población estudiada,Método de DL usado,"Datos emocionales usados (facial, voz, texto)",Emociones descritas,Técnicas de IA utilizadas,Base de datos,Árbol de emociones,Resultados principales,Limitaciones,Estado
does the psychopathology of the parents predict the developmental-emotional problems of the toddlers?,"Usta MB, KarabekİroĞlu K.",2020,10.29399/npa.25074,PubMed,,,,,,,,,,
dynamic functional-structural coupling within acute functional state change phases: evidence from a depression recognition study,"Bi K, Hua L, Wei M, Qin J, Lu Q, Yao Z.",2016,10.1016/j.jad.2015.11.041,PubMed,,,,,,,,,,
dynamic neural circuit disruptions associated with antisocial behaviors,"Jiang W, Zhang H, Zeng LL, Shen H, Qin J, Thung KH, Yap PT, Liu H, Hu D, Wang W, Shen D.",2021,10.1002/hbm.25225,PubMed,,,,,,,,,,
dynamic prediction of psychological treatment outcomes: development and validation of a prediction model using routinely collected symptom data,"Bone C, Simmonds-Buckley M, Thwaites R, Sandford D, Merzhvynska M, Rubel J, Deisenhofer AK, Lutz W, Delgadillo J.",2021,10.1016/S2589-7500(21)00018-2,PubMed,,,,,,,,,,
dynamic urban environmental exposures on depression and suicide (needs) in the netherlands: a protocol for a cross-sectional smartphone tracking study and a longitudinal population register study,Helbich M.,2019,10.1136/bmjopen-2019-030075,PubMed,,,,,,,,,,
early biomarkers of neurodevelopmental disorders in preterm infants: protocol for a longitudinal cohort study,"Zhao Y, Liu Y, Gao X, Wang D, Wang N, Xie R, Tong X, He Y, Yang L.",2023,10.1136/bmjopen-2022-070230,PubMed,,,,,,,,,,
"early childhood household instability, adolescent structural neural network architecture, and young adulthood depression: a 21-year longitudinal study","Hardi FA, Goetschius LG, Tillem S, McLoyd V, Brooks-Gunn J, Boone M, Lopez-Duran N, Mitchell C, Hyde LW, Monk CS.",2023,10.1016/j.dcn.2023.101253,PubMed,,,,,,,,,,
early detection of depression using a conversational ai bot: a non-clinical trial,"Kaywan P, Ahmed K, Ibaida A, Miao Y, Gu B.",2023,10.1371/journal.pone.0279743,PubMed,,,,,,,,,,
early detection of severe functional impairment among adolescents with major depression using logistic classifier,"Chiu IM, Lu W, Tian F, Hart D.",2021,10.3389/fpubh.2020.622007,PubMed,,,,,,,,,,
early identification of bipolar from unipolar depression before manic episode: evidence from dynamic rfmri,"Shao J, Dai Z, Zhu R, Wang X, Tao S, Bi K, Tian S, Wang H, Sun Y, Yao Z, Lu Q.",2019,10.1111/bdi.12819,PubMed,,,,,,,,,,
"early postnatal nicotine exposure causes hippocampus-dependent memory impairments in adolescent mice: association with altered nicotinic cholinergic modulation of ltp, but not impaired ltp","Nakauchi S, Malvaez M, Su H, Kleeman E, Dang R, Wood MA, Sumikawa K.",2015,10.1016/j.nlm.2014.12.007,PubMed,,,,,,,,,,
early screening of children with autism spectrum disorder based on electroencephalogram signal feature selection with l1-norm regularization,"Peng S, Xu R, Yi X, Hu X, Liu L, Liu L.",2021,10.3389/fnhum.2021.656578,PubMed,,,,,,,,,,
"econeurobiology and brain development in children: key factors affecting development, behavioral outcomes, and school interventions","Mualem R, Morales-Quezada L, Farraj RH, Shance S, Bernshtein DH, Cohen S, Mualem L, Salem N, Yehuda RR, Zbedat Y, Waksman I, Biswas S.",2024,10.3389/fpubh.2024.1376075,PubMed,,,,,,,,,,
eeg-based emotion recognition: a state-of-the-art review of current trends and opportunities,"Suhaimi NS, Mountstephens J, Teo J.",2020,10.1155/2020/8875426,PubMed,,,,,,,,,,
eeg-based mild depression recognition using convolutional neural network,"Li X, La R, Wang Y, Niu J, Zeng S, Sun S, Zhu J.",2019,10.1007/s11517-019-01959-2,PubMed,,,,,,,,,,
effect of childhood maltreatment on cognitive function and its relationship with personality development and social coping style in major depression disorder patients: a latent class model and network analysis,"Wang X, Li X, Zhao J, Du X, Li J, Zhao W, Li J, Liu S, Xu Y.",2023,10.3389/fpsyt.2023.748857,PubMed,,,,,,,,,,
effect of propionic acid on the morphology of the amygdala in adolescent male rats and their behavior,"Lobzhanidze G, Lordkipanidze T, Zhvania M, Japaridze N, MacFabe DF, Pochkidze N, Gasimov E, Rzaev F.",2019,10.1016/j.micron.2019.102732,PubMed,,,,,,,,,,
effect of reading activities on children's mental health under the environment of artificial intelligence and deep learning,Yang M.,2022,10.1155/2022/1762767,PubMed,Niños,-,Textos,-,IA y DL,-,No,La lectura de libros ilustrados podría mejorar la salud mental de los niños,Los problemas éticos y metodológicos llevaron a la retracción del artículo,"Excluido, el artículo fue retractado, lo que significa que la confiabilidad de los datos y hallazgos no puede ser confirmada."
effect of visual stimuli of pain on empathy brain network in people with and without autism spectrum disorder,"Lassalle A, Zürcher NR, Hippolyte L, Billstedt E, Porro CA, Benuzzi F, Solomon P, Prkachin KM, Lemonnier E, Gillberg C, Åsberg Johnels J, Hadjikhani N.",2018,10.1111/ejn.14138,PubMed,,,,,,,,,,
effect of wearable digital intervention for improving socialization in children with autism spectrum disorder: a randomized clinical trial,"Voss C, Schwartz J, Daniels J, Kline A, Haber N, Washington P, Tariq Q, Robinson TN, Desai M, Phillips JM, Feinstein C, Winograd T, Wall DP.",2019,10.1001/jamapediatrics.2019.0285,PubMed,,,,,,,,,,
effective parental strategies against problematic smartphone use among adolescents: a 6-month prospective study,"Efrati Y, Rosenberg H, Ophir Y.",2024,10.1016/j.addbeh.2024.108024,PubMed,,,,,,,,,,
effective prediction and important counseling experience for perceived helpfulness of social question and answering-based online counseling: an explainable machine learning model,"Huang Y, Liu H, Li S, Wang W, Zhou Z.",2022,10.3389/fpubh.2022.817570,PubMed,,,,,,,,,,
effects of childhood trauma experience and bdnf val66met polymorphism on brain plasticity relate to emotion regulation,"Tian T, Li J, Zhang G, Wang J, Liu D, Wan C, Fang J, Wu D, Zhou Y, Zhu W.",2021,10.1016/j.bbr.2020.112949,PubMed,,,,,,,,,,
effects of functional polymorphisms of opioid receptor mu 1 and catechol-o-methyltransferase on the neural processing of pain,"Cheong Y, Lee S, Okazawa H, Kosaka H, Jung M.",2024,10.1111/pcn.13648,PubMed,,,,,,,,,,
effects of long-term covid-19 confinement and music stimulation on mental state and brain activity of young people,"Luo L, Shan M, Zu Y, Chen Y, Bu L, Wang L, Ni M, Niu W.",2022,10.1016/j.neulet.2022.136922,PubMed,,,,,,,,,,
elucidating the influence of familial interactions on geriatric depression: a comprehensive nationwide multi-center investigation leveraging machine learning,"Sheng B, Zhang S, Gao Y, Xia S, Zhu Y, Yan J.",2024,10.1016/j.actpsy.2024.104274,PubMed,,,,,,,,,,
"emerging evidence for putative neural networks and antecedents of pediatric anxiety in the fetal, neonatal, and infant periods","Doyle CM, Lasch C, Elison JT.",2021,10.1016/j.biopsych.2020.11.020,PubMed,"Niños, Adolescentes",-,imagen (neuroimagen),"medir la ansiedad y el temperamento ansioso (AT) en el contexto de la ansiedad pediátrica. Port tanto mide es la ansiedad, y los indicadores neuronales, fisiológicos y conductuales asociados se utilizan para proporcionar predicciones a nivel individual del riesgo de ansiedad antes de que surjan o se consoliden síntomas clínicamente significativos  p.1 p.3",-,-,No,"la investigación se centra en la evidencia emergente sobre redes neuronales y antecedentes de ansiedad pediátrica en las primeras etapas del desarrollo. Los principales hallazgos de la investigación incluyen:
1. La naturaleza predictiva imperfecta de los fenotipos conductuales tempranos: el informe destaca que las caracterizaciones actuales de la inhibición conductual (BI) y el miedo desregulado (DF) en la infancia son predictores imperfectos del riesgo de problemas de ansiedad clínicamente procesables, y menos del 50% de los niños con inhibición conductual desarrollan Trastornos de ansiedad en la infancia o adolescencia p. 2.
2. Importancia de las medidas neuronales de riesgo: el informe enfatiza la necesidad de medidas neuronales de riesgo para aumentar la utilidad y el valor predictivo de un perfil de riesgo, aprovechando así múltiples niveles de análisis. Sugiere que acoplar marcadores neuronales con factores conductuales, como BI, mejorará la capacidad de predecir el riesgo de ansiedad a nivel individual específico p.4
3. Papel del momento del desarrollo: El momento de la medición e identificación de los marcadores de riesgo se destaca como vital para identificar si las medidas representan un riesgo de ansiedad futura, enfatizando la importancia de comprender el cerebro en desarrollo en la identificación temprana del riesgo p. 4","1. Naturaleza predictiva imperfecta de los fenotipos conductuales tempranos: el informe destaca que las caracterizaciones actuales de la inhibición conductual (BI) y el miedo desregulado (DF) en la infancia son predictores imperfectos del riesgo de problemas de ansiedad clínicamente procesables, ya que menos del 50% de los niños con inhibiciones conductuales desarrollan ansiedad. Trastornos en la infancia o la adolescencia p. 2 .
2. Falta de sensibilidad y especificidad de las características de BI: la mayoría de los niños que presentan BI no cumplen con los criterios de trastorno de ansiedad social en la edad adulta, en parte debido a la heterogeneidad en la ansiedad pediátrica y la falta de sensibilidad y especificidad de las características de BI. No todos los niños temerosos muestran atipicidad en los índices utilizados para caracterizar BI p. 2 .
3. Desafíos metodológicos en neuroimagen: el informe reconoce que la neuroimagen enfrenta desafíos y limitaciones, como la poca confiabilidad de las tareas de imágenes por resonancia magnética funcional utilizadas anteriormente para medir diversos aspectos de la ansiedad en poblaciones de mayor edad. Sin embargo, los avances en protocolos y tecnología han mejorado las tasas de éxito y se esperan mayores avances metodológicos p. 9",
emo-mirror: a proposal to support emotion recognition in children with autism spectrum disorders,"Pavez R, Diaz J, Arango-Lopez J, Ahumada D, Mendez-Sandoval C, Moreira F.",2023,10.1007/s00521-021-06592-5,PubMed,,,,,,,,,,
emotion recognition in doctor-patient interactions from real-world clinical video database: initial development of artificial empathy,"Huang CW, Wu BCY, Nguyen PA, Wang HH, Kao CC, Lee PC, Rahmanti AR, Hsu JC, Yang HC, Li YJ.",2023,10.1016/j.cmpb.2023.107480,PubMed,,,,,,,,,,
emotion-aware and intelligent internet of medical things toward emotion recognition during covid-19 pandemic,"Zhang T, Liu M, Yuan T, Al-Nabhan N.",2020,10.1109/JIOT.2020.3038631,PubMed,,,,,,,,,,
"emotional ""inflection point"" in public health emergencies with the 2019 new coronavirus pneumonia (ncp) in china","Zhang Y, Cao X, Wang P, Wang G, Lei G, Shou Z, Xie S, Huang F, Luo N, Luo M, Bian Y, Zhang J, Xiao Q.",2020,10.1016/j.jad.2020.07.097,PubMed,,,,,,,,,,
emotional analysis of twitter posts during the first phase of the covid-19 pandemic in greece: infoveillance study,"Geronikolou S, Drosatos G, Chrousos G.",2021,10.2196/27741,PubMed,"Cualquier persona que haya publicado tweets en inglés relacionados con COVID-19 en ese periodo, sin distinción de edad.",RNN,Texto ,"Alegría, tristeza, disgusto, miedo, sorpresa y enojo",DL con redes neuronales ,Tweets recogidos a través de Twitter API con Social Feed Manager.,Clasificación de emociones básicas de Ekman.,"La emoción más frecuente fue sorpresa, seguida por enojo durante el confinamiento.",Restricción a emociones básicas y análisis centrado solo en la primera ola de la pandemia.,
emotional climate recognition in conversations using peers' speech-based bispectral features and affect dynamics(),"Alhussein G, Alkhodari M, Lamprou C, Ziogas I, Ganiti-Roumeliotou E, Khandoker A, Hadjileontiadis LJ.",2023,10.1109/EMBC40787.2023.10340028,PubMed,,,,,,,,,,
emotional distress during covid-19 by mental health conditions and economic vulnerability: retrospective analysis of survey-linked twitter data with a semisupervised machine learning algorithm,"Ueda M, Watanabe K, Sueki H.",2023,10.2196/44965,PubMed,,,,,,,,,,
emotional dysregulation in emerging adult adhd: a key consideration in explaining and classifying impairment and co-occurring internalizing problems,"Goh PK, A Wong AWW, Suh DE, Bodalski EA, Rother Y, Hartung CM, Lefler EK.",2024,10.1177/10870547241284829,PubMed,,,,,,,,,,
emotions and music through an innovative project during compulsory secondary education,"Valero-Esteban JM, Alcover CM, Pastor Y, Moreno-Díaz A, Verde A.",2024,10.1016/j.heliyon.2024.e25765,PubMed,,,,,,,,,,
"emotive tonality of the ""youth-old age"" dichotomy in russian and chinese media discourses: the stage of psychosemantic expertise","Qin M, Xiao D, Yuan L, Karabulatova I.",2023,10.1007/s10936-022-09899-z,PubMed,,,,,,,,,,
empirical investigation for predicting depression from different machine learning based voice recognition techniques,"Punithavathi R, Sharmila M, Avudaiappan T, Raj II, Kanchana S, Mamo SA.",2022,10.1155/2022/6395860,PubMed,,,,,,,,,,
"endocannabinoids in brain plasticity: cortical maturation, hpa axis function and behavior","Dow-Edwards D, Silva L.",2017,10.1016/j.brainres.2016.08.037,PubMed,,,,,,,,,,
enhancing emotion regulation with an in situ socially assistive robot among lgbtq+ youth with self-harm ideation: protocol for a randomised controlled trial,"Williams AJ, Cleare S, Borschmann R, Tench CR, Gross J, Hollis C, Chapman-Nisar A, Naeche N, Townsend E, Slovak P; Digital Youth.",2024,10.1136/bmjopen-2023-079801,PubMed,,,,,,,,,,
entorhinal cortical deep brain stimulation rescues memory deficits in both young and old mice genetically engineered to model alzheimer's disease,"Xia F, Yiu A, Stone SSD, Oh S, Lozano AM, Josselyn SA, Frankland PW.",2017,10.1038/npp.2017.100,PubMed,,,,,,,,,,
estimating exposome score for schizophrenia using predictive modeling approach in two independent samples: the results from the eugei study,"Pries LK, Lage-Castellanos A, Delespaul P, Kenis G, Luykx JJ, Lin BD, Richards AL, Akdede B, Binbay T, Altinyazar V, Yalinçetin B, Gümüş-Akay G, Cihan B, Soygür H, Ulaş H, Cankurtaran EŞ, Kaymak SU, Mihaljevic MM, Petrovic SA, Mirjanic T, Bernardo M, Cabrera B, Bobes J, Saiz PA, García-Portilla MP, Sanjuan J, Aguilar EJ, Santos JL, Jiménez-López E, Arrojo M, Carracedo A, López G, González-Peñas J, Parellada M, Maric NP, Atbaşoğlu C, Ucok A, Alptekin K, Saka MC; Genetic Risk and Outcome of Psychosis (GROUP) investigators; Arango C, O'Donovan M, Rutten BPF, van Os J, Guloksuz S.",2019,10.1093/schbul/sbz054,PubMed,,,,,,,,,,
estimating the heterogeneous causal effects of parent-child relationships among chinese children with oppositional defiant symptoms: a machine learning approach,"Zhou H, Han F, Chen R, Huang J, Chen J, Lin X.",2024,10.3390/bs14060504,PubMed,,,,,,,,,,
estimation of the development of depression and ptsd in children exposed to sexual abuse and development of decision support systems by using artificial intelligence,"Ucuz I, Ari A, Ozcan OO, Topaktas O, Sarraf M, Dogan O.",2022,10.1080/10538712.2020.1841350,PubMed,,,,,,,,,,
ethical considerations for integrating multimodal computer perception and neurotechnology,"Hurley ME, Sonig A, Herrington J, Storch EA, Lázaro-Muñoz G, Blumenthal-Barby J, Kostick-Quenet K.",2024,10.3389/fnhum.2024.1332451,PubMed,,,,,,,,,,
ethical considerations in child-robot interactions,"Langer A, Marshall PJ, Levy-Tzedek S.",2023,10.1016/j.neubiorev.2023.105230,PubMed,,,,,,,,,,
evaluating the performance of the language model chatgpt in responding to common questions of people with epilepsy,"Wu Y, Zhang Z, Dong X, Hong S, Hu Y, Liang P, Li L, Zou B, Wu X, Wang D, Chen H, Qiu H, Tang H, Kang K, Li Q, Zhai X.",2024,10.1016/j.yebeh.2024.109645,PubMed,,,,,,,,,,
evaluating users' experiences of a child multimodal wearable device: mixed methods approach,"McElwain NL, Fisher MC, Nebeker C, Bodway JM, Islam B, Hasegawa-Johnson M.",2024,10.2196/49316,PubMed,,,,,,,,,,
evaluation of the observational associations and shared genetics between glaucoma with depression and anxiety,"Zhang X, Liang Y, Huang Y, Liu S, Li Q, Wang S, Wu G, Du Z, Wang Y, Wang J, Hu Y, Zang S, Hu Y, Shang X, Zhang X, Zhang L, Brown A, Zhu Z, He M, Yu H.",2024,10.1167/iovs.65.3.12,PubMed,,,,,,,,,,
examination of social smoking classifications using a machine learning approach,"Franzwa F, Harper LA, Anderson KG.",2022,10.1016/j.addbeh.2021.107175,PubMed,,,,,,,,,,
examining implicit bias differences in pediatric surgical fellowship letters of recommendation using natural language processing,"Gray GM, Williams SA, Bludevich B, Irby I, Chang H, Danielson PD, Gonzalez R, Snyder CW, Ahumada LM, Chandler NM.",2023,10.1016/j.jsurg.2022.12.002,PubMed,,,,,,,,,,
examining online behaviors of adult-child and spousal caregivers for people living with alzheimer disease or related dementias: comparative study in an open online community,"Ni C, Song Q, Malin B, Song L, Commiskey P, Stratton L, Yin Z.",2023,10.2196/48193,PubMed,,,,,,,,,,
"examining the impact of assistive technology on psychological health, family education, and curriculum research in japan: insights from artificial intelligence",Guo Y.,2024,10.1007/s10803-023-06105-4,PubMed,,,,,,,,,,
executive functioning: a mediator between sensory processing and behaviour in autism spectrum disorder,"Fernandez-Prieto M, Moreira C, Cruz S, Campos V, Martínez-Regueiro R, Taboada M, Carracedo A, Sampaio A.",2021,10.1007/s10803-020-04648-4,PubMed,,,,,,,,,,
exhausted parents in japan: preliminary validation of the japanese version of the parental burnout assessment,"Furutani K, Kawamoto T, Alimardani M, Nakashima K.",2020,10.1002/cad.20371,PubMed,,,,,,,,,,
experience during adolescence shapes brain development: from synapses and networks to normal and pathological behavior,"Dow-Edwards D, MacMaster FP, Peterson BS, Niesink R, Andersen S, Braams BR.",2019,10.1016/j.ntt.2019.106834,PubMed,,,,,,,,,,
experience with an affective robot assistant for children with hearing disabilities,"Uluer P, Kose H, Gumuslu E, Barkana DE.",2023,10.1007/s12369-021-00830-5,PubMed,,,,,,,,,,
experiences of mothers participating in a mother-child video therapy program,"Hackley B, Hammer M, Barnhart E, Abramowitz K, Chinitz E, Sharma C, Shapiro A.",2023,10.1111/jmwh.13408,PubMed,,,,,,,,,,
experiences of siblings of children with neurodevelopmental disorders: comparing qualitative analysis and machine learning to study narratives,"Bastiaansen JAJ, Veldhuizen EE, De Schepper K, Scheepers FE.",2022,10.3389/fpsyt.2022.719598,PubMed,,,,,,,,,,
exploration of variables predicting sense of school belonging using the machine learning method-group mnet,"Lim HJ, Yoo JE, Rho M, Ryu JJ.",2024,10.1177/00332941221133005,PubMed,,,,,,,,,,
exploring comorbid depression and physical health trajectories: a case-based computational modelling approach,"Castellani B, Griffiths F, Rajaram R, Gunn J.",2018,10.1111/jep.13042,PubMed,,,,,,,,,,
exploring heterogeneity in perinatal depression: a comprehensive review,"Waqas A, Nadeem M, Rahman A.",2023,10.1186/s12888-023-05121-z,PubMed,,,,,,,,,,
"exploring online public survey lifestyle datasets with statistical analysis, machine learning and semantic ontology","Chatterjee A, Riegler MA, Johnson MS, Das J, Pahari N, Ramachandra R, Ghosh B, Saha A, Bajpai R.",2024,10.1038/s41598-024-74539-6,PubMed,,,,,,,,,,
exploring the relationship between urban youth sentiment and the built environment using machine learning and weibo comments,"Duan S, Shen Z, Luo X.",2022,10.3390/ijerph19084794,PubMed,,,,,,,,,,
exploring the relationships between epistemic beliefs about medicine and approaches to learning medicine: a structural equation modeling analysis,"Chiu YL, Liang JC, Hou CY, Tsai CC.",2016,10.1186/s12909-016-0707-0,PubMed,,,,,,,,,,
exploring the transition to fatherhood: feasibility study using social media and machine learning,"Teague SJ, Shatte AB.",2018,10.2196/12371,PubMed,,,,,,,,,,
exposure to childhood abuse is associated with human sperm dna methylation,"Roberts AL, Gladish N, Gatev E, Jones MJ, Chen Y, MacIsaac JL, Tworoger SS, Austin SB, Tanrikut C, Chavarro JE, Baccarelli AA, Kobor MS.",2018,10.1038/s41398-018-0252-1,PubMed,,,,,,,,,,
externalising moods and psychological states in a cloud based system to enhance a pet-robot and child's interaction,"Larriba F, Raya C, Angulo C, Albo-Canals J, Díaz M, Boldú R.",2016,10.1186/s12938-016-0180-3,PubMed,,,,,,,,,,
eye avoidance of threatening facial expressions in parents of children with asd,"Yang T, Li D, Zhang Y, Zhang L, Li H, Ji GJ, Yang Z, Zhang L, Zhu C, Wang K.",2021,10.2147/NDT.S300491,PubMed,,,,,,,,,,
eye-movement analysis on facial expression for identifying children and adults with neurodevelopmental disorders,"Iwauchi K, Tanaka H, Okazaki K, Matsuda Y, Uratani M, Morimoto T, Nakamura S.",2023,10.3389/fdgth.2023.952433,PubMed,,,,,,,,,,
facial emotion recognition focused on descriptive region segmentation,"Arabian H, Wagner-Hartl V, Geoffrey Chase J, Moller K.",2021,10.1109/EMBC46164.2021.9629742,PubMed,,,,,,,,,,
factors and pathways of non-suicidal self-injury in children: insights from computational causal analysis,"Guo X, Wang L, Li Z, Feng Z, Lu L, Jiang L, Zhao L.",2024,10.3389/fpubh.2024.1305746,PubMed,,,,,,,,,,
feature signature discovery for autism detection: an automated machine learning based feature ranking framework,"Jacob SG, Sulaiman MMBA, Bennet B.",2023,10.1155/2023/6330002,PubMed,,,,,,,,,,
fects: a facial emotion cognition and training system for chinese children with autism spectrum disorder,"Wan G, Deng F, Jiang Z, Song S, Hu D, Chen L, Wang H, Li M, Chen G, Yan T, Su J, Zhang J.",2022,10.1155/2022/9213526,PubMed,,,,,,,,,,
federated learning and deep learning framework for mri image and speech signal-based multi-modal depression detection,"Patil M, Mukherji P, Wadhai V.",2024,10.1016/j.compbiolchem.2024.108232,PubMed,,,,,,,,,,
federated learning-based prediction of depression among adolescents across multiple districts in china,"Kuang Y, Liao X, Jiang Z, Gu Y, Liu B, Tan C, Zhang W, Li K.",2024,10.1016/j.jad.2024.10.027,PubMed,,,,,,,,,,
forecasting care seekers satisfaction with telemedicine using machine learning and structural equation modeling,"Zobair KM, Sanzogni L, Houghton L, Islam MZ.",2021,10.1371/journal.pone.0257300,PubMed,,,,,,,,,,
friendship with a robot: children's perception of similarity between a robot's physical and virtual embodiment that supports diabetes self-management,"Sinoo C, van der Pal S, Blanson Henkemans OA, Keizer A, Bierman BPB, Looije R, Neerincx MA.",2018,10.1016/j.pec.2018.02.008,PubMed,,,,,,,,,,
from face to face: the contribution of facial mimicry to cognitive and emotional empathy,"Drimalla H, Landwehr N, Hess U, Dziobek I.",2019,10.1080/02699931.2019.1596068,PubMed,,,,,,,,,,
fronto-limbic dysconnectivity leads to impaired brain network controllability in young people with bipolar disorder and those at high genetic risk,"Jeganathan J, Perry A, Bassett DS, Roberts G, Mitchell PB, Breakspear M.",2018,10.1016/j.nicl.2018.03.032,PubMed,,,,,,,,,,
functional connectivity during frustration: a preliminary study of predictive modeling of irritability in youth,"Scheinost D, Dadashkarimi J, Finn ES, Wambach CG, MacGillivray C, Roule AL, Niendam TA, Pine DS, Brotman MA, Leibenluft E, Tseng WL.",2021,10.1038/s41386-020-00954-8,PubMed,,,,,,,,,,
functional outcome of dual reinnervation with cross-facial nerve graft and masseteric nerve transfer for facial paralysis,"Kollar B, Weiss JBW, Kiefer J, Eisenhardt SU.",2024,10.1097/PRS.0000000000010888,PubMed,,,,,,,,,,
functional outcomes of cerebellar malformations,"Gill JS, Sillitoe RV.",2019,10.3389/fncel.2019.00441,PubMed,,,,,,,,,,
fusing autonomy and sociality via embodied emergence and development of behaviour and cognition from fetal period,Kuniyoshi Y.,2019,10.1098/rstb.2018.0031,PubMed,,,,,,,,,,
fusion-based body-worn iot sensor platform for gesture recognition of autism spectrum disorder children,"Ullah F, AbuAli NA, Ullah A, Ullah R, Siddiqui UA, Siddiqui AA.",2023,10.3390/s23031672,PubMed,,,,,,,,,,
gaze patterns in children with autism spectrum disorder to emotional faces: scanpath and similarity,"Zhou W, Yang M, Tang J, Wang J, Hu B.",2024,10.1109/TNSRE.2024.3361935,PubMed,,,,,,,,,,
gender-specific associations of depression and anxiety symptoms with mental rotation,"Oshiyama C, Sutoh C, Miwa H, Okabayashi S, Hamada H, Matsuzawa D, Hirano Y, Takahashi T, Niwa SI, Honda M, Sakatsume K, Nishimura T, Shimizu E.",2018,10.1016/j.jad.2018.04.006,PubMed,,,,,,,,,,
"gender-specific factors of suicidal ideation among high school students in yunnan province, china: a machine learning approach","Li R, Deng R, Song T, Xiao Y, Wang Q, Fang Z, Huang Y, Jiao F, Chen Y.",2024,10.1016/j.jad.2024.08.072,PubMed,,,,,,,,,,
gene expression in cord blood links genetic risk for neurodevelopmental disorders with maternal psychological distress and adverse childhood outcomes,"Breen MS, Wingo AP, Koen N, Donald KA, Nicol M, Zar HJ, Ressler KJ, Buxbaum JD, Stein DJ.",2018,10.1016/j.bbi.2018.05.016,PubMed,,,,,,,,,,
generative language models and open notes: exploring the promise and limitations,"Blease C, Torous J, McMillan B, Hägglund M, Mandl KD.",2024,10.2196/51183,PubMed,,,,,,,,,,
genetic pathways associated with sleep problems in children with autism spectrum disorder,"Lin PI, Masi A, Moni MA, Kummerfeld S, Eapen V.",2022,10.3389/fpsyt.2022.904091,PubMed,,,,,,,,,,
genetically predicted gene expression of prefrontal drd4 gene and the differential susceptibility to childhood emotional eating in response to positive environment,"Barth B, Bizarro L, Miguel PM, Dubé L, Levitan R, O'Donnell K, Meaney MJ, Silveira PP.",2020,10.1016/j.appet.2020.104594,PubMed,,,,,,,,,,
genome-wide association analyses of physical activity and sedentary behavior provide insights into underlying mechanisms and roles in disease prevention,"Wang Z, Emmerich A, Pillon NJ, Moore T, Hemerich D, Cornelis MC, Mazzaferro E, Broos S, Ahluwalia TS, Bartz TM, Bentley AR, Bielak LF, Chong M, Chu AY, Berry D, Dorajoo R, Dueker ND, Kasbohm E, Feenstra B, Feitosa MF, Gieger C, Graff M, Hall LM, Haller T, Hartwig FP, Hillis DA, Huikari V, Heard-Costa N, Holzapfel C, Jackson AU, Johansson Å, Jørgensen AM, Kaakinen MA, Karlsson R, Kerr KF, Kim B, Koolhaas CM, Kutalik Z, Lagou V, Lind PA, Lorentzon M, Lyytikäinen LP, Mangino M, Metzendorf C, Monroe KR, Pacolet A, Pérusse L, Pool R, Richmond RC, Rivera NV, Robiou-du-Pont S, Schraut KE, Schulz CA, Stringham HM, Tanaka T, Teumer A, Turman C, van der Most PJ, Vanmunster M, van Rooij FJA, van Vliet-Ostaptchouk JV, Zhang X, Zhao JH, Zhao W, Balkhiyarova Z, Balslev-Harder MN, Baumeister SE, Beilby J, Blangero J, Boomsma DI, Brage S, Braund PS, Brody JA, Bruinenberg M, Ekelund U, Liu CT, Cole JW, Collins FS, Cupples LA, Esko T, Enroth S, Faul JD, Fernandez-Rhodes L, Fohner AE, Franco OH, Galesloot TE, Gordon SD, Grarup N, Hartman CA, Heiss G, Hui J, Illig T, Jago R, James A, Joshi PK, Jung T, Kähönen M, Kilpeläinen TO, Koh WP, Kolcic I, et al.",2022,10.1038/s41588-022-01165-1,PubMed,,,,,,,,,,
genomic analyses identify hundreds of variants associated with age at menarche and support a role for puberty timing in cancer risk,"Day FR, Thompson DJ, Helgason H, Chasman DI, Finucane H, Sulem P, Ruth KS, Whalen S, Sarkar AK, Albrecht E, Altmaier E, Amini M, Barbieri CM, Boutin T, Campbell A, Demerath E, Giri A, He C, Hottenga JJ, Karlsson R, Kolcic I, Loh PR, Lunetta KL, Mangino M, Marco B, McMahon G, Medland SE, Nolte IM, Noordam R, Nutile T, Paternoster L, Perjakova N, Porcu E, Rose LM, Schraut KE, Segrè AV, Smith AV, Stolk L, Teumer A, Andrulis IL, Bandinelli S, Beckmann MW, Benitez J, Bergmann S, Bochud M, Boerwinkle E, Bojesen SE, Bolla MK, Brand JS, Brauch H, Brenner H, Broer L, Brüning T, Buring JE, Campbell H, Catamo E, Chanock S, Chenevix-Trench G, Corre T, Couch FJ, Cousminer DL, Cox A, Crisponi L, Czene K, Davey Smith G, de Geus EJCN, de Mutsert R, De Vivo I, Dennis J, Devilee P, Dos-Santos-Silva I, Dunning AM, Eriksson JG, Fasching PA, Fernández-Rhodes L, Ferrucci L, Flesch-Janys D, Franke L, Gabrielson M, Gandin I, Giles GG, Grallert H, Gudbjartsson DF, Guénel P, Hall P, Hallberg E, Hamann U, Harris TB, Hartman CA, Heiss G, Hooning MJ, Hopper JL, Hu F, Hunter DJ, Ikram MA, Im HK, Järvelin MR, Joshi PK, Karasik D, Kellis M, et al.",2017,10.1038/ng.3841,PubMed,,,,,,,,,,
genomic risk scores for juvenile idiopathic arthritis and its subtypes,"Cánovas R, Cobb J, Brozynska M, Bowes J, Li YR, Smith SL, Hakonarson H, Thomson W, Ellis JA, Abraham G, Munro JE, Inouye M.",2020,10.1136/annrheumdis-2020-217421,PubMed,,,,,,,,,,
